"Sector","Topic","Metric","Category","Unit of Measure","Code","Direct Measurement","Risk Assessment","Risk Insights","Trend Analysis","Benchmarking","Regulatory Support"
"Software & IT Services","Data Privacy & Freedom of Expression","Amount of legal and regulatory fines and settlements associated with customer privacy","Quantitative","U.S. dollars ($)","TC0102-06","","","","","",""
"Software & IT Services","Data Privacy & Freedom of Expression","Number of government or law enforcement requests for customer information","Quantitative","Number","TA03-04-01","","","","","",""
"Software & IT Services","Data Privacy & Freedom of Expression","Number of records requested","Quantitative","Number","TA03-04-01","","","","","",""
"Software & IT Services","Data Privacy & Freedom of Expression","Percentage resulting in disclosure","Quantitative","Percentage (%)","TA03-04-01","","","","","",""
"Software & IT Services","Data Privacy & Freedom of Expression","List of countries where core products or services are subject to government-required monitoring, blocking, content filtering, or censoring","Discussion and Analysis","n/a","TC0102-08","","","","","",""
"Software & IT Services","Data Security","Number of data security breaches","Quantitative","Number","TA03-06-01","","","","","",""
"Software & IT Services","Data Security","Percentage involving customers' personally identifiable information (PII)","Quantitative","Percentage (%)","TA03-06-01","","","","","",""
"Software & IT Services","Data Security","Number of customers affected","Quantitative","Number","TA03-06-01","","","","","",""
"Software & IT Services","Data Security","Discussion of management approach to identifying and addressing data security risks","Discussion and Analysis","n/a","TC0102-10","","","","","",""
"Software & IT Services","Data Security","Percentage of operations, by revenue, independently certified to a suitable third-party cybersecurity management standard","Quantitative","Percentage (%)","TA03-05-01","","","","","",""
"Software & IT Services","Recruiting & Managing a Global, Diverse Skilled Workforce","Percentage of employees that are foreign nationals","Quantitative","Percentage (%)","TC0102-11","","","planetarycomputer.microsoft.com-1. us-census, US Census (provides detailed demographic and population data for U.S. geographies that can be combined with company HR data to understand local labor market composition and context for foreign national hiring, but does not measure company workforce shares directly)","planetarycomputer.microsoft.com-1. us-census, US Census (decennial census and associated boundary data allow comparison of workforce nationality composition against evolving local population demographics over time, supporting contextual trend analysis rather than direct measurement of company percentages)","planetarycomputer.microsoft.com-1. us-census, US Census (enables benchmarking company foreign national workforce percentages against local or national population characteristics and immigration patterns, providing an external reference point for diversity and global mobility metrics)",""
"Software & IT Services","Recruiting & Managing a Global, Diverse Skilled Workforce","Percentage of employees located offshore","Quantitative","Percentage (%)","TC0102-11","","","planetarycomputer.microsoft.com-1. us-census, US Census (geographic population and boundary data can be used alongside internal HR location data to understand the distribution of employees relative to major labor markets, providing context for onshore vs offshore workforce patterns but not the percentages themselves)","planetarycomputer.microsoft.com-1. us-census, US Census (time-separated census datasets allow contextual analysis of how the geographic distribution of labor markets evolves relative to the company’s shifting onshore/offshore footprint over time)","planetarycomputer.microsoft.com-1. us-census, US Census (serves as an external reference for comparing the company’s offshore employee share against broader patterns of population and employment concentration across regions and countries)",""
"Software & IT Services","Recruiting & Managing a Global, Diverse Skilled Workforce","Employee engagement as a percentage","Quantitative","Percentage (%)","TC0102-12","","","","","",""
"Software & IT Services","Recruiting & Managing a Global, Diverse Skilled Workforce","Percentage of gender and racial/ethnic group representation for executives","Quantitative","Percentage (%)","TC0102-13","","","planetarycomputer.microsoft.com-1. us-census, US Census (provides demographic breakdowns by race/ethnicity and sometimes sex at various geographic levels, which can be used to contextualize executive diversity metrics against local or national talent pool composition, though it does not contain company-level executive data)","planetarycomputer.microsoft.com-1. us-census, US Census (successive census releases allow tracking of how the demographic composition of the broader labor market changes over time relative to executive team diversity trends within the company)","planetarycomputer.microsoft.com-1. us-census, US Census (enables benchmarking executive gender and racial/ethnic representation against external population demographics in relevant markets, providing a comparative baseline for diversity performance)",""
"Software & IT Services","Recruiting & Managing a Global, Diverse Skilled Workforce","Percentage of gender and racial/ethnic group representation for all others","Quantitative","Percentage (%)","TC0102-13","","","planetarycomputer.microsoft.com-1. us-census, US Census (detailed demographic data by geography can be used to understand how the diversity of the broader workforce-eligible population compares to the company’s non-executive workforce composition, providing contextual insight but not direct company metrics)","planetarycomputer.microsoft.com-1. us-census, US Census (time-separated census datasets support analysis of how changes in local and national demographic structures compare to internal diversity trends among non-executive employees)","planetarycomputer.microsoft.com-1. us-census, US Census (serves as an external benchmark for comparing company-wide gender and racial/ethnic representation against the demographics of the communities and labor markets in which the company operates)",""
"Software & IT Services","Managing Systemic Risks from Technology Disruptions","Number of performance issues","Quantitative","Number","TC0102-14","","planetarycomputer.microsoft.com-1. deltares-floods, Deltares Global Flood Maps (global coastal flood depth maps under extreme sea levels help identify data centers and network nodes exposed to coastal inundation, which can drive performance issues through infrastructure damage or access disruption); planetarycomputer.microsoft.com-2. deltares-water-availability, Deltares Global Water Availability (reservoir storage and inflow/outflow simulations highlight regions where water scarcity could impair cooling systems, increasing risk of thermal throttling or outages that manifest as performance issues); planetarycomputer.microsoft.com-3. terraclimate, TerraClimate (long-term climate and water balance variables support assessment of chronic heat and drought conditions that may stress cooling and power systems, elevating systemic performance risk); planetarycomputer.microsoft.com-4. nasa-nex-gddp-cmip6, Earth Exchange Global Daily Downscaled Projections (NEX-GDDP-CMIP6) (future projections of extreme heat and precipitation inform long-term climate hazard exposure that could increase the likelihood of performance issues at specific sites); planetarycomputer.microsoft.com-5. conus404, CONUS404 (high-resolution hydroclimate reanalysis over the U.S. provides detailed characterization of historical extreme weather that can disrupt power and connectivity to U.S. facilities)","planetarycomputer.microsoft.com-1. jrc-gsw, JRC Global Surface Water (information on surface water presence and variability near sites provides context for flood and access risks that can indirectly affect system performance); planetarycomputer.microsoft.com-2. ms-buildings, Microsoft Building Footprints (building density and patterns around facilities help understand urban exposure, access routes, and potential cascading infrastructure dependencies that can influence systemic disruption risk); planetarycomputer.microsoft.com-3. esa-worldcover, ESA WorldCover (land cover classification around facilities indicates surrounding land uses—urban, cropland, forest—that affect exposure to hazards like wildfire, landslide, or urban flooding that may disrupt performance); planetarycomputer.microsoft.com-4. modis-14A1-061, MODIS Thermal Anomalies/Fire Daily (global fire detection data provide context on wildfire occurrence near critical infrastructure corridors and facilities, which can threaten power and connectivity and thus performance); planetarycomputer.microsoft.com-5. goes-glm, GOES-R Lightning Detection (high-frequency lightning detection over the Americas provides context on lightning hazard patterns that can affect grid reliability and telecom infrastructure supporting service performance)","planetarycomputer.microsoft.com-1. terraclimate, TerraClimate (multi-decadal climate and water balance time series allow analysis of trends in heatwaves, droughts, and other conditions that may increase the frequency of environment-driven performance issues over time); planetarycomputer.microsoft.com-2. nasa-nex-gddp-cmip6, Earth Exchange Global Daily Downscaled Projections (NEX-GDDP-CMIP6) (enables examination of projected trends in extreme temperature and precipitation that could change the baseline risk of climate-related performance disruptions over the lifecycle of assets); planetarycomputer.microsoft.com-3. conus404, CONUS404 (42-year hydroclimate reanalysis for the U.S. supports trend analysis of extreme precipitation and temperature events that historically correlate with outages and performance degradation); planetarycomputer.microsoft.com-4. modis-14A2-061, MODIS Thermal Anomalies/Fire 8-Day (multi-year global fire records allow tracking of changing wildfire regimes near infrastructure corridors that may increasingly threaten power and connectivity); planetarycomputer.microsoft.com-5. noaa-nclimgrid-monthly, Monthly NOAA U.S. Climate Gridded Dataset (NClimGrid) (monthly gridded temperature and precipitation data for the U.S. enable analysis of evolving climate normals and extremes that underpin systemic disruption risks)","",""
"Software & IT Services","Managing Systemic Risks from Technology Disruptions","Number of service disruptions","Quantitative","Number","TC0102-14","","planetarycomputer.microsoft.com-1. deltares-floods, Deltares Global Flood Maps (identifies coastal areas where extreme water levels could inundate data centers, network hubs, or key access routes, elevating the risk of service disruptions due to flooding); planetarycomputer.microsoft.com-2. deltares-water-availability, Deltares Global Water Availability (highlights basins with variable or low reservoir storage that may compromise cooling water supplies and increase the risk of service interruptions at water-dependent facilities); planetarycomputer.microsoft.com-3. terraclimate, TerraClimate (supports assessment of regions prone to chronic drought or heat stress that can strain power and cooling systems, raising the likelihood of service disruptions); planetarycomputer.microsoft.com-4. nasa-nex-gddp-cmip6, Earth Exchange Global Daily Downscaled Projections (NEX-GDDP-CMIP6) (future climate scenarios inform long-term changes in extreme weather patterns that can drive more frequent or severe service disruptions); planetarycomputer.microsoft.com-5. conus404, CONUS404 (high-resolution U.S. hydroclimate reanalysis provides detailed characterization of historical storms and heatwaves that have potential to disrupt services via grid or network failures)","planetarycomputer.microsoft.com-1. jrc-gsw, JRC Global Surface Water (surface water occurrence and change near facilities provide context on fluvial and pluvial flood environments that can indirectly drive service disruptions); planetarycomputer.microsoft.com-2. ms-buildings, Microsoft Building Footprints (building footprint density and patterns around infrastructure help understand urban interdependencies and access constraints that may exacerbate disruption impacts); planetarycomputer.microsoft.com-3. esa-worldcover, ESA WorldCover (surrounding land cover classes indicate exposure to hazards such as wildfire, landslides, or urban flooding that can affect supporting infrastructure and cause service outages); planetarycomputer.microsoft.com-4. modis-14A1-061, MODIS Thermal Anomalies/Fire Daily (daily global fire detections provide context on wildfire proximity to power lines, fiber routes, and facilities that can precipitate service disruptions); planetarycomputer.microsoft.com-5. goes-glm, GOES-R Lightning Detection (lightning activity patterns over the Americas inform understanding of lightning-related risks to grid and telecom infrastructure that underpin service continuity)","planetarycomputer.microsoft.com-1. terraclimate, TerraClimate (long-term climate and water balance records allow trend analysis of environmental drivers—heat, drought, heavy precipitation—that correlate with service disruption events); planetarycomputer.microsoft.com-2. nasa-nex-gddp-cmip6, Earth Exchange Global Daily Downscaled Projections (NEX-GDDP-CMIP6) (enables exploration of projected trends in climate extremes that may change the baseline probability of service disruptions in different regions); planetarycomputer.microsoft.com-3. conus404, CONUS404 (multi-decade high-resolution reanalysis over the U.S. supports trend analysis of storm intensity and frequency that historically impact service continuity); planetarycomputer.microsoft.com-4. modis-14A2-061, MODIS Thermal Anomalies/Fire 8-Day (time series of global fire activity enable tracking of changing wildfire regimes near critical infrastructure corridors that may increasingly threaten service continuity); planetarycomputer.microsoft.com-5. noaa-nclimgrid-monthly, Monthly NOAA U.S. Climate Gridded Dataset (NClimGrid) (monthly gridded climate data for the U.S. support analysis of evolving climate normals and extremes that underpin systemic disruption risk to services)","",""
"Software & IT Services","Managing Systemic Risks from Technology Disruptions","Total customer downtime","Quantitative","Days","TC0102-14","","planetarycomputer.microsoft.com-1. deltares-floods, Deltares Global Flood Maps (flood depth and extent information for coastal areas can be intersected with facility and network locations to estimate potential duration and severity of flood-induced outages contributing to customer downtime); planetarycomputer.microsoft.com-2. deltares-water-availability, Deltares Global Water Availability (reservoir storage and inflow/outflow dynamics highlight regions where prolonged water shortages could lead to extended cooling failures and multi-day downtime scenarios); planetarycomputer.microsoft.com-3. terraclimate, TerraClimate (identifies regions with chronic or increasing drought and heat stress that may cause recurring or prolonged outages due to cooling and power constraints, influencing expected downtime risk); planetarycomputer.microsoft.com-4. nasa-nex-gddp-cmip6, Earth Exchange Global Daily Downscaled Projections (NEX-GDDP-CMIP6) (future climate projections of extreme events support scenario analysis of potential multi-day outages from severe storms or heatwaves); planetarycomputer.microsoft.com-5. conus404, CONUS404 (detailed U.S. hydroclimate reanalysis supports modeling of historical event-driven outage durations—such as from major storms—that can be linked to customer downtime risk)","planetarycomputer.microsoft.com-1. jrc-gsw, JRC Global Surface Water (long-term patterns of surface water presence and change near facilities provide context on flood-prone environments where outages may be longer due to access and repair challenges); planetarycomputer.microsoft.com-2. ms-buildings, Microsoft Building Footprints (building density and urban form around facilities inform potential complexity of restoration logistics and interdependencies that can lengthen downtime); planetarycomputer.microsoft.com-3. esa-worldcover, ESA WorldCover (land cover context—urban, forest, cropland—around infrastructure helps understand exposure to hazards that may cause extended outages, such as wildfires in forested regions); planetarycomputer.microsoft.com-4. modis-14A1-061, MODIS Thermal Anomalies/Fire Daily (daily global fire detections provide context on wildfire events that can cause prolonged infrastructure damage and extended customer downtime); planetarycomputer.microsoft.com-5. goes-glm, GOES-R Lightning Detection (lightning frequency patterns inform understanding of regions where lightning-induced damage to grid and telecom infrastructure may contribute to recurring or extended downtimes)","planetarycomputer.microsoft.com-1. terraclimate, TerraClimate (multi-decadal climate and water balance time series enable analysis of trends in environmental drivers that can influence the frequency and duration of outages, such as increasing heatwaves or droughts); planetarycomputer.microsoft.com-2. nasa-nex-gddp-cmip6, Earth Exchange Global Daily Downscaled Projections (NEX-GDDP-CMIP6) (projected changes in extreme weather frequency and intensity support forward-looking assessment of how typical outage durations might evolve); planetarycomputer.microsoft.com-3. conus404, CONUS404 (long-term high-resolution reanalysis over the U.S. allows trend analysis of storm and heatwave characteristics historically associated with multi-day outages); planetarycomputer.microsoft.com-4. modis-14A2-061, MODIS Thermal Anomalies/Fire 8-Day (time series of global fire activity support analysis of changing wildfire regimes that may drive longer or more frequent downtime events near infrastructure); planetarycomputer.microsoft.com-5. noaa-nclimgrid-monthly, Monthly NOAA U.S. Climate Gridded Dataset (NClimGrid) (monthly climate normals and anomalies for the U.S. support trend analysis of underlying climate conditions that correlate with outage and downtime patterns)","",""
"Software & IT Services","Managing Systemic Risks from Technology Disruptions","Discussion of business continuity risks related to disruptions of operations","Discussion and Analysis","n/a","TC0102-15","","planetarycomputer.microsoft.com-1. deltares-floods, Deltares Global Flood Maps (provides modeled coastal flood depth and extent under extreme sea levels, enabling identification and qualitative description of flood-related business continuity risks for data centers and network infrastructure); planetarycomputer.microsoft.com-2. deltares-water-availability, Deltares Global Water Availability (simulated reservoir storage and inflow/outflow dynamics highlight regions where water scarcity could compromise cooling and operations, informing narrative on water-related continuity risks); planetarycomputer.microsoft.com-3. terraclimate, TerraClimate (long-term climate and water balance variables support assessment of chronic and acute climate risks—heatwaves, droughts—that can disrupt operations, informing continuity planning narratives); planetarycomputer.microsoft.com-4. nasa-nex-gddp-cmip6, Earth Exchange Global Daily Downscaled Projections (NEX-GDDP-CMIP6) (future climate scenarios provide the basis for describing long-term climate change impacts on operational continuity, including increased frequency of extreme events); planetarycomputer.microsoft.com-5. conus404, CONUS404 (high-resolution hydroclimate reanalysis over the U.S. supports detailed characterization of historical extreme events that have disrupted operations, enriching qualitative risk descriptions)","planetarycomputer.microsoft.com-1. jrc-gsw, JRC Global Surface Water (surface water occurrence and change data provide context on fluvial and pluvial flood environments near facilities, informing narrative descriptions of flood-related continuity risks); planetarycomputer.microsoft.com-2. ms-buildings, Microsoft Building Footprints (building footprint data help describe the density and configuration of built environments around facilities, including co-location with other critical infrastructure that can create systemic continuity risks); planetarycomputer.microsoft.com-3. esa-worldcover, ESA WorldCover (land cover classes around sites inform descriptions of exposure to hazards such as wildfire, landslides, or urban flooding that can disrupt operations); planetarycomputer.microsoft.com-4. modis-14A1-061, MODIS Thermal Anomalies/Fire Daily (global fire detection data provide evidence of wildfire exposure near infrastructure corridors, supporting qualitative discussion of fire-related continuity risks); planetarycomputer.microsoft.com-5. goes-glm, GOES-R Lightning Detection (lightning activity patterns inform descriptions of lightning-related risks to power and communication infrastructure that underpin business continuity)","planetarycomputer.microsoft.com-1. terraclimate, TerraClimate (multi-decadal climate and water balance time series allow discussion of observed trends in heat, drought, and precipitation extremes that are changing the continuity risk landscape); planetarycomputer.microsoft.com-2. nasa-nex-gddp-cmip6, Earth Exchange Global Daily Downscaled Projections (NEX-GDDP-CMIP6) (enables scenario-based narratives on how climate hazards affecting operations may evolve over asset lifetimes); planetarycomputer.microsoft.com-3. conus404, CONUS404 (long-term U.S. hydroclimate reanalysis supports discussion of trends in storm intensity and frequency relevant to continuity planning); planetarycomputer.microsoft.com-4. modis-14A2-061, MODIS Thermal Anomalies/Fire 8-Day (time series of global fire activity allow description of changing wildfire regimes that may increasingly threaten operations); planetarycomputer.microsoft.com-5. noaa-nclimgrid-monthly, Monthly NOAA U.S. Climate Gridded Dataset (NClimGrid) (gridded U.S. climate normals and anomalies support discussion of evolving baseline climate conditions that underpin operational risk)","",""
"Software & IT Services","Intellectual Property Protection & Competitive Behavior","Number of patent litigation cases","Quantitative","Number","TC0102-16","","","","","",""
"Software & IT Services","Intellectual Property Protection & Competitive Behavior","Number successful","Quantitative","Number","TC0102-16","","","","","",""
"Software & IT Services","Intellectual Property Protection & Competitive Behavior","Number as patent holder","Quantitative","Number","TC0102-16","","","","","",""
"Software & IT Services","Intellectual Property Protection & Competitive Behavior","Amount of legal and regulatory fines and settlements associated with anti-competitive practices","Quantitative","U.S. dollars ($)","TC0102-17","","","","","",""
